"File","Loc","Percent","Match","TextAround"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","17615","61.09%","police","tion law in 2010, which also sought to give state police immigration law enforcement powers. Acosta recoll"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","21365","74.09%","police"," is not scheduled to take effect until July 2024, police in Iowa have already begun to arrest people in wa"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","21560","74.77%","police"," have been subject to increasing vehicle stops by police for minor reasons like having one tail light inop"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","23637","81.97%","police","hnology?called Social Sentinel that allows campus police to?scan social media posts to identify people mor"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","23961","83.09%","police"," download a campus security app that gives campus police access to users photos and location data. On occa"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24030","83.33%","police","ers photos and location data. On occasion, campus police there have used a drone provided by the local pol"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24083","83.52%","police","ice there have used a drone provided by the local police department, but also available for purchase on Am"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24429","84.72%","police","ut underage drinking, students report that campus police responded to a loud party on a Friday night. Many"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24547","85.13%","police","nt activists were attending the party. The campus police invited local officers to join them, waited for s"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24749","85.83%","police","cross walk. Upon seeing the jay walking, the city police conducted three arrests.?At the same time, seve"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","24820","86.07%","police","e arrests.?At the same time, several other city police walked to the back of the house where the party w"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","25108","87.07%","police","cated. One officer stood at the door and shouted ?police,? but no one responded. After two seconds, three "
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","25871","89.72%","police"," upon the initial arrest or subsequently, and the police put an undercover agent in a cell with the studen"
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","26230","90.96%","gun","conviction for drug possession and was carrying a gun. That individual was ultimately charged with the "
"1. McLeod 2024 Democracy and Coercion Exam (MC4yMTQ1MTYwMA).docx","27509","95.40%","gun","e Texas district judge presiding over the federal gun prosecution was appointed by former?President Don"
,,,"",
"1. McLeod 2024 Democracy and Coercion Exam.docx","8120","28.41%","police","lains the typical enforcement scenario involves a police raid on a homeless encampment where the police de"
"1. McLeod 2024 Democracy and Coercion Exam.docx","8167","28.57%","police"," a police raid on a homeless encampment where the police descend in a large group on the area, park their "
"1. McLeod 2024 Democracy and Coercion Exam.docx","8223","28.77%","police"," descend in a large group on the area, park their police cars and place their bodies to form a barrier in "
"1. McLeod 2024 Democracy and Coercion Exam.docx","8472","29.64%","police","ts, sometimes referred to as ?kettling,? in which police hem in and confine a group of pedestrians as a fo"
"1. McLeod 2024 Democracy and Coercion Exam.docx","8568","29.98%","police","ns as a form of crowd control. In some instances, police have also used tear gas, which causes coughing, r"
"1. McLeod 2024 Democracy and Coercion Exam.docx","8847","30.95%","police","camping in pubic, their tents are ransacked, with police throwing all contents of the tents outside onto t"
"1. McLeod 2024 Democracy and Coercion Exam.docx","10979","38.41%","death","ted States may present the risk of incarceration, death, or serious injury if returned to the country fro"
"1. McLeod 2024 Democracy and Coercion Exam.docx","16102","56.34%","police","slature in Iowa in March 2024, which allows local police to arrest people for federal immigration law viol"
"1. McLeod 2024 Democracy and Coercion Exam.docx","17495","61.21%","police","tion law in 2010, which also sought to give state police immigration law enforcement powers. Acosta recoll"
"1. McLeod 2024 Democracy and Coercion Exam.docx","21117","73.88%","police"," is not scheduled to take effect until July 2024, police in Iowa have already begun to arrest people in wa"
"1. McLeod 2024 Democracy and Coercion Exam.docx","21312","74.57%","police"," have been subject to increasing vehicle stops by police for minor reasons like having one tail light inop"
"1. McLeod 2024 Democracy and Coercion Exam.docx","23382","81.81%","police","hnology?called Social Sentinel that allows campus police to?scan social media posts to identify people mor"
"1. McLeod 2024 Democracy and Coercion Exam.docx","23706","82.94%","police"," download a campus security app that gives campus police access to users photos and location data. On occa"
"1. McLeod 2024 Democracy and Coercion Exam.docx","23775","83.18%","police","ers photos and location data. On occasion, campus police there have used a drone provided by the local pol"
"1. McLeod 2024 Democracy and Coercion Exam.docx","23828","83.37%","police","ice there have used a drone provided by the local police department, but also available for purchase on Am"
"1. McLeod 2024 Democracy and Coercion Exam.docx","24174","84.58%","police","ut underage drinking, students report that campus police responded to a loud party on a Friday night. Many"
"1. McLeod 2024 Democracy and Coercion Exam.docx","24292","84.99%","police","nt activists were attending the party. The campus police invited local officers to join them, waited for s"
"1. McLeod 2024 Democracy and Coercion Exam.docx","24494","85.70%","police","cross walk. Upon seeing the jay walking, the city police conducted three arrests.?At the same time, seve"
"1. McLeod 2024 Democracy and Coercion Exam.docx","24565","85.95%","police","e arrests.?At the same time, several other city police walked to the back of the house where the party w"
"1. McLeod 2024 Democracy and Coercion Exam.docx","24853","86.96%","police","cated. One officer stood at the door and shouted ?police,? but no one responded. After two seconds, three "
"1. McLeod 2024 Democracy and Coercion Exam.docx","25616","89.63%","police"," upon the initial arrest or subsequently, and the police put an undercover agent in a cell with the studen"
"1. McLeod 2024 Democracy and Coercion Exam.docx","25975","90.88%","gun","conviction for drug possession and was carrying a gun. That individual was ultimately charged with the "
"1. McLeod 2024 Democracy and Coercion Exam.docx","27254","95.36%","gun","e Texas district judge presiding over the federal gun prosecution was appointed by former?President Don"
,,,"",
"2024 Georgetown Final Exam.docx","7574","16.48%","death","gible shareholder for sixty days following John?s death, so John should amend the trust to require the tr"
"2024 Georgetown Final Exam.docx","7684","16.71%","death","o distribute the Acme stock immediately after his death.Assuming the grantor trust meets the requirement"
"2024 Georgetown Final Exam.docx","8716","18.96%","death","purchased all of Helen?s Ajax stock.  Did Helen?s death terminate the S election in 1990 when she died?N"
"2024 Georgetown Final Exam.docx","21664","47.13%","race","C and the sole beneficiary of a trust that owns a race horse.  Ace is interested in purchasing the race "
"2024 Georgetown Final Exam.docx","21713","47.23%","race"," race horse.  Ace is interested in purchasing the race horse owned by the trust.  Ace plans to enter the"
"2024 Georgetown Final Exam.docx","21905","47.65%","raci","e horse has medical issues that will keep it from racing competitively and is sterile.  A thorough exami"
,,,"",
"2024 LAW 814 Final Exam (Wall & Bischoff) -- for submission.docx","4170","39.16%","war","ng a Pink state. During the long and bloody civil war, the Pink militia perpetrated a genocide against "
"2024 LAW 814 Final Exam (Wall & Bischoff) -- for submission.docx","4532","42.56%","war","sts that drove the original rebellion died in the war. However, some remain, and the current Pinkland g"
"2024 LAW 814 Final Exam (Wall & Bischoff) -- for submission.docx","6764","63.52%","rape"," recounted violent attacks?including beatings and rapes?perpetrated by young men dressed all in pink tar"
,,,"",
"2024 Tax Treaties Exam 4873-2050-8599 v.1.docx","-1","0.00%","NO HITS","NO HITS FOUND in file 2024 Tax Treaties Exam 4873-2050-8599 v.1.docx"
,,,"",
"2024.WhiteCollar.FinalDraft1.docx","18102","90.31%","vaccin",".  But we have never been able to develop a legal vaccine for it,? MacPhee continues.  ?The people who man"
,,,"",
"Addiction and Mental Health Law Spring 2024  Take Home Exam Final.docx","11414","47.52%","suicide","n several pages he discussed the pros and cons of suicide and whether his family would be better off withou"
,,,"",
"Arlyck_FedCourts_Spring2024_FinalExam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Arlyck_FedCourts_Spring2024_FinalExam.docx"
,,,"",
"BARBASH_PRIVATE EQUITY HEDGE AND OTHER PRIVATE FUNDS_SPRING 2024_FINAL EXAM.DOCX","21384","36.39%","pandemic","beloved by his clients.  In the wake of the Covid pandemic, extremely tired of grueling city living, and wan"
"BARBASH_PRIVATE EQUITY HEDGE AND OTHER PRIVATE FUNDS_SPRING 2024_FINAL EXAM.DOCX","26301","44.75%","race","e candidates.  The candidate for Governor won her race, whereas the candidate for Lieutenant Governor lo"
"BARBASH_PRIVATE EQUITY HEDGE AND OTHER PRIVATE FUNDS_SPRING 2024_FINAL EXAM.DOCX","26362","44.86%","race","as the candidate for Lieutenant Governor lost his race.  Under State of Maine law, both the Governor and"
,,,"",
"Basic Accounting for Lawyers GULC 2024 exam instructions JGB.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Basic Accounting for Lawyers GULC 2024 exam instructions JGB.docx"
,,,"",
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","11710","87.11%","vaccin","he technology used to engineer seasonal influenza vaccines can be repurposed to create a vaccine for such "
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","11749","87.40%","vaccin"," influenza vaccines can be repurposed to create a vaccine for such a strain.  And a federal ?library? of a"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","11839","88.07%","vaccin","l ?library? of antigens (viral substances used in vaccines to trigger an immune response) includes a few a"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12026","89.46%","vaccin","However, repurposing America?s seasonal-influenza-vaccine manufacturing capacity to manufacture tens of mi"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12122","90.17%","vaccin","tens of millions of doses of this avian influenza vaccine would take months.  And doing so would take most"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12222","90.92%","vaccin","e most or all of our country?s seasonal-influenza-vaccine capacity offline for the 2024-25 flu season.	A"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12327","91.70%","vaccin","According to the Centers for Disease Control, flu vaccines saved 3,700 U.S. lives during the 2022-23 seaso"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12442","92.55%","death","erate? season that resulted in 21,000 flu-related deaths.  Seasonal flu deaths, though, are highly variab"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12464","92.72%","death","ulted in 21,000 flu-related deaths.  Seasonal flu deaths, though, are highly variable (& unpredictable in"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12710","94.55%","vaccin","choice: should they take most or all seasonal-flu-vaccine manufacturing capacity offline for 2024-25 in or"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12788","95.13%","vaccin","ty offline for 2024-25 in order to make avian-flu vaccine (for a virus that might not emerge in large-scal"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12803","95.24%","virus","2024-25 in order to make avian-flu vaccine (for a virus that might not emerge in large-scale, human-infec"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12914","96.06%","vaccin","orm), or should they produce the 2024-25 seasonal vaccine (leaving the nation without the avian-flu vaccin"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","12964","96.44%","vaccin","vaccine (leaving the nation without the avian-flu vaccine that?d be badly needed in the event of an avian-"
"BLOCHE_THEMINDANDTHELAW_SPRING2024_FINALEXAM.docx","13024","96.88%","pandemic","at?d be badly needed in the event of an avian-flu pandemic)?	Drawing upon the course readings, class discu"
,,,"",
"BROWNEKIM_CORPINCTAXI_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file BROWNEKIM_CORPINCTAXI_SPRING2024_FINALEXAM.docx"
,,,"",
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","3301","8.82%","race","pinion as Justice Brown and will apply a critical race theory analysis. See below for the opinion in Ko"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","4267","11.40%","raci","itutional power? and falls into the ugly abyss of racism.In dealing with matters relating to the prosec"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","4345","11.61%","war","ers relating to the prosecution and progress of a war, we must accord great respect and consideration *"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","6319","16.89%","raci","clearly does not meet that test. Being an obvious racial discrimination, the *235 order deprives all tho"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","6890","18.41%","raci","pending? public danger is evident to support this racial restriction which is one of the most sweeping a"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","8261","22.08%","raci","t in good measure of this erroneous assumption of racial guilt rather than *236 bona fide military neces"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","8525","22.78%","race","escent as ?subversive,? as belonging to ?an enemy race? whose ?racial strains are undiluted,? and as con"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","8538","22.82%","raci","bversive,? as belonging to ?an enemy race? whose ?racial strains are undiluted,? and as constituting ?ov"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","8954","23.93%","war","tute a special menace to defense installations or war industries, or had otherwise by their behavior fu"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","9142","24.43%","raci","sion is sought, instead, mainly upon questionable racial and sociological grounds not *237 ordinarily wi"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","9461","25.28%","raci"," said to be ?a large, unassimilated, tightly knit racial group, bound to an enemy nation by strong ties "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","9518","25.43%","race","group, bound to an enemy nation by strong ties of race, culture, custom and religion.? They are claimed "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","11280","30.14%","raci","irected against Japanese Americans by people with racial and economic prejudices?the same people who hav"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","11430","30.54%","raci","cuation. A military judgment *240 based upon such racial and sociological considerations is not entitled"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","11633","31.09%","race","pecially is this so when every charge relative to race, religion, culture, geographical location, and le"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","15320","40.94%","raci","[and disagree with the Dissent?s] legalization of racism. Racial discrimination in any form and in any d"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","16738","44.73%","raci","ctions which curtail the civil rights of a single racial group are immediately suspect. That is not to s"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","16999","45.43%","raci","times justify the existence of such restrictions; racial antagonism never can.?In the instant case pro"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","18221","48.69%","war","ed.Reg. 1407. That order, issued after we were at war with Japan, declared that ?the successful prosecu"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","18286","48.86%","war"," declared that ?the successful prosecution of the war requires every possible protection against espion"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","19429","51.92%","war","d other orders on which it rested were beyond the war powers of the Congress, the military authorities "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","19707","52.66%","race","ly prohibited discrimination solely on account of race. To these questions, we gave the serious consider"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","20093","53.69%","war"," we are unable to conclude that it was beyond the war power of Congress and the Executive to exclude *2"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","20202","53.98%","war","se of Japanese ancestry from **195 the West Coast war area at the time they did. True, exclusion from t"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","21711","58.02%","war","y and quickly ascertained. We cannot say that the war-making branches of the Government did not have gr"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","23691","63.31%","war"," 115, 117, 87 L.Ed. 58. But hardships are part of war, and war is an aggregation of hardships. All citi"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","23700","63.33%","war",", 87 L.Ed. 58. But hardships are part of war, and war is an aggregation of hardships. All citizens alik"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","23803","63.61%","war","e, both in and out of uniform, feel the impact of war in greater or lesser measure. Citizenship has its"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","23916","63.91%","war","ilities as well as its privileges, and in time of war the burden is always heavier. Compulsory *220 exc"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","24678","65.95%","raci"," loyal citizen in a concentration camp because of racial prejudice. Regardless of the true nature of the"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","24976","66.74%","raci","clusion order. To cast this case into outlines of racial prejudice, without reference to the real milita"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","25175","67.27%","race"," Military Area because of hostility to him or his race. He was excluded because we are at war with the J"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","25215","67.38%","war","im or his race. He was excluded because we are at war with the Japanese Empire, because the properly co"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","25621","68.47%","war","Congress, reposing its confidence in this time of war in our military leaders?as inevitably it must?det"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","26254","70.16%","race","ones, 242 F.3d 215 (4th Cir 2001) from a critical race theory perspective. The current opinion is (repri"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","26445","70.67%","race","inion in Jones as Judge Brown applying a critical race theory analysis. See below for the opinion in Jo"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","26848","71.74%","police","crack on the ground that it was discovered by the police during the illegal stop of an automobile occupied"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","26956","72.03%","race","y Jones and three other African American men. The race of the occupants prompted a city police officer t"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","26994","72.13%","police","an men. The race of the occupants prompted a city police officer to make the stop shortly after police had"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","27040","72.26%","police","ity police officer to make the stop shortly after police had been unable to corroborate an anonymous tip t"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","27684","73.98%","police"," Sometime before 1:13 a.m. on March 17, 1998, the police dispatcher in Union received an anonymous 911 cal"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","27929","74.63%","race","and and Pond Streets. Aside from mentioning their race, the caller did not provide any physical descript"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","28378","75.83%","police","appened to be near the intersection in a separate police car, also responded to the dispatcher?s call. Eac"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","31041","82.95%","police","amend. IV. A discretionary automobile stop by the police is a seizure of the person and therefore ?must be"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","32212","86.08%","police","and frisked on the basis of an anonymous tip. The police had received an anonymous telephone tip that a yo"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","32357","86.47%","gun","irt standing at a certain bus stop was carrying a gun. The police went to the bus stop and found three "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","32366","86.49%","police","ing at a certain bus stop was carrying a gun. The police went to the bus stop and found three African Amer"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","32497","86.84%","police","as wearing a plaid shirt. Aside from the tip, the police did not have any reason to suspect any of the thr"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","32786","87.61%","gun","ith the plaid shirt, frisked him, and recovered a gun from his pocket. See id. at 270, 120 S.Ct. 1375. "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","33425","89.32%","police"," no predictive information and therefore left the police without means to test the informant?s credibility"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","33534","89.61%","police"," knowledge.? 529 U.S. at 271, 120 S.Ct. 1375. The police improperly relied on ?the bare report of an unkno"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","33662","89.95%","gun","rmant who neither explained how he knew about the gun nor supplied any basis for believing he had insid"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","34167","91.30%","police","n.? Id. at 272, 120 S.Ct. 1375. Thus, because the police could not verify the informant?s credibility and "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","34365","91.83%","gun","t held that the stop was unjustified and that the gun was the fruit of an unlawful search. See id. at 2"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","34722","92.78%","police","ficient tip in J.L. The 911 caller told the Union police dispatcher that several black males were drinking"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","35095","93.78%","race","men were present, and apart from mentioning their race, gave no information about their appearance. The "
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","35340","94.44%","police","tomobile or whether they had access to one. Union police went to the intersection and saw no one. They und"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","35759","95.56%","police"," because anonymous tip was corroborated when ?the police themselves observed [the defendant] engaging in s"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","36117","96.51%","police","anonymous tip became essentially useless once the police found no one and no illegal activity at the inter"
"Brown_Critical_Race_Theory_Exam_Spring2024.docx","36189","96.71%","police","d no illegal activity at the intersection. If the police wished to investigate any further, they were rele"
,,,"",
"Brown_Federal_Income_Tax_Exam_Spring2024.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Brown_Federal_Income_Tax_Exam_Spring2024.docx"
,,,"",
"Brummer_Innovation Technology and International Financial Regulation__Spring 2024_ FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Brummer_Innovation Technology and International Financial Regulation__Spring 2024_ FINALEXAM.docx"
,,,"",
"Buffa_Financial Market Reform and Innovation Exam_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Buffa_Financial Market Reform and Innovation Exam_SPRING2024_FINALEXAM.docx"
,,,"",
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","2297","21.91%","police","E SIGNAL. QUESTION 1Starsky and Hutch are police officers in Nellyville, the 51st US state.  They "
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","2809","26.80%","police"," outstanding warrant.   The person who called the police didn?t identify themself.  On May 15, Starsky an"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","3510","33.48%","police","ooms? to his arrest report.  Starsky called for a police transport vehicle, which took Doja Cat to the Nel"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","4085","38.97%","police"," 1:05 pm, Hutch looked up Bad Bunny?s name on his police issued cell phone, which had a database of people"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","4275","40.78%","police"," and placed him under arrest.  Hutch called for a police transport vehicle to take Bad Bunny to the Nellyv"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","8184","78.07%","police","m (?ERROR?).  ERROR states ?If a local or federal police officer conducts an unconstitutional search or se"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","8782","83.77%","police","rs from public lands in Stankonia.  The Stankonia police are investigating whether Gunna is committing thi"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","8862","84.54%","police","er Gunna is committing this crime.  25 undercover police officers are assigned to observe Gunna?s public m"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","9938","94.80%","gun"," The bullets missed SZA.  As she ran, she threw a gun on the ground.  Harlow picked up the gun.  SZA "
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","9979","95.19%","gun"," threw a gun on the ground.  Harlow picked up the gun.  SZA ran past Glow, who was also in plain clot"
"BUTLER_CRIMINALJUSTICE_SPRING2024_FINAL EXAM.docx","10382","99.04%","gun","her ex-partner, prosecutors seek to introduce the gun and SZA?s statement.  Discuss the criminal proced"
,,,"",
"Buzbee_AdministrativeLaw_FinalExam_Spring2024.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Buzbee_AdministrativeLaw_FinalExam_Spring2024.docx"
,,,"",
"Cashin_RaceLaw_Spring2024_FinalExam.docx","3130","45.67%","race"," following three questions.Question IWhat is race and how has American legal doctrine constructed, "
"Cashin_RaceLaw_Spring2024_FinalExam.docx","3209","46.82%","raci","al doctrine constructed, deconstructed, or shaped racial meaning? In developing your answer, you might c"
"Cashin_RaceLaw_Spring2024_FinalExam.docx","3589","52.36%","race","ed, resisted, or shaped popular understandings of race. If you wish, you may focus on a particular demog"
"Cashin_RaceLaw_Spring2024_FinalExam.docx","3730","54.42%","race","laims or justice demands, and how that group was ?raced? by courts across eras. I encourage you to draw "
"Cashin_RaceLaw_Spring2024_FinalExam.docx","4588","66.94%","raci","es of chattel slavery in contributing to existing racial inequalities in family wealth and educational o"
"Cashin_RaceLaw_Spring2024_FinalExam.docx","4741","69.17%","race","student must first gain admission under standard, race-neutral admissions criteria applied to all applic"
"Cashin_RaceLaw_Spring2024_FinalExam.docx","6589","96.13%","race","ach for adoption of non-indigenous children and a race- or group-conscious approach via ICWA. Whatever y"
,,,"",
"CASTALDI_INTRO TO US LEGAL SYSTEMS_SPRING 2024_FINALEXAM.docx","4806","75.23%","police","an in the community and has always wanted to be a police officer. Aaron attends a political fundraising ev"
,,,"",
"CEDRONE_LEGALPRACTICE_SPRING2024_FINAL EXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file CEDRONE_LEGALPRACTICE_SPRING2024_FINAL EXAM.docx"
,,,"",
"Chafetz_ConstitutionalLawI_Spring2024_FinalExam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Chafetz_ConstitutionalLawI_Spring2024_FinalExam.docx"
,,,"",
"CHAN_MERGERSANDACQUISITIONS_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file CHAN_MERGERSANDACQUISITIONS_SPRING2024_FINALEXAM.docx"
,,,"",
"CHOVANEC.INTERNATIONAL & U.S. CUSTOMS LAW.SPRING 2024.FINAL EXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file CHOVANEC.INTERNATIONAL & U.S. CUSTOMS LAW.SPRING 2024.FINAL EXAM.docx"
,,,"",
"Clukey Curran IRS Practice Spring 2024 Exam Qs _ DRAFT  24 April 2024.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Clukey Curran IRS Practice Spring 2024 Exam Qs _ DRAFT  24 April 2024.docx"
,,,"",
